"year" "nbhunted" "available" "hp"
1990 0 18 0
1991 4 17 0.235294117647059
1992 3 23 0.130434782608696
1993 0 28 0
1994 0 30 0
1995 0 31 0
1996 2 36 0.0555555555555556
1997 3 37 0.0810810810810811
1998 4 39 0.102564102564103
1999 10 35 0.285714285714286
2000 8 36 0.222222222222222
2001 6 46 0.130434782608696
2002 9 48 0.1875
2003 14 52 0.269230769230769
2004 10 56 0.178571428571429
2005 9 46 0.195652173913043
2006 19 61 0.311475409836066
2007 14 53 0.264150943396226
2008 14 64 0.21875
2009 21 66 0.318181818181818
2010 16 59 0.271186440677966
2011 18 58 0.310344827586207
2012 14 49 0.285714285714286
2013 16 57 0.280701754385965
2014 19 56 0.339285714285714
2015 8 47 0.170212765957447
