"id" "year" "age" "recruitment" "tactic"
"W0004" 1999 5 0 "1.5"
"W0004" 2000 6 0 "1.5"
"W0004" 2001 7 0 "1.5"
"W0004" 2002 8 1 "1.5"
"W0004" 2003 9 0 "1.5"
"W0004" 2004 10 1 "1.5"
"W0004" 2005 11 0 "1.5"
"W0004" 2006 12 1 "1.5"
"W0004" 2007 13 0 "1.5"
"W0004" 2008 14 0 "1.5"
"W0004" 2009 15 0 "1.5"
"W0010" 1999 0 0 "1.5"
"W0010" 2000 1 0 "1.5"
"W0010" 2001 2 0 "1.5"
"W0010" 2002 3 0 "1.5"
"W0010" 2003 4 0 "1.5"
"W0010" 2004 5 0 "1.5"
"W0010" 2005 6 0 "1.5"
"W0010" 2006 7 0 "1.5"
"W0010" 2007 8 0 "1.5"
"W0010" 2008 9 1 "1.5"
"W0010" 2009 10 0 "1.5"
"W0107" 2000 0 0 "1.5"
"W0107" 2001 1 0 "1.5"
"W0107" 2002 2 0 "1.5"
"W0107" 2003 3 0 "1.5"
"W0107" 2004 4 0 "1.5"
"W0107" 2005 5 0 "1.5"
"W0107" 2006 6 0 "1.5"
"W0107" 2007 7 1 "1.5"
"W0107" 2008 8 0 "1.5"
"W0107" 2009 9 0 "1.5"
"W0109" 2001 7 0 "1.5"
"W0109" 2002 8 2 "1.5"
"W0109" 2003 9 0 "1.5"
"W0109" 2004 10 1 "1.5"
"W0209" 2001 0 0 "1.5"
"W0209" 2002 1 0 "1.5"
"W0209" 2003 2 0 "1.5"
"W0209" 2004 3 0 "1.5"
"W0209" 2005 4 0 "1.5"
"W0209" 2006 5 0 "1.5"
"W0209" 2007 6 2 "1.5"
"W0209" 2008 7 0 "1.5"
"W0209" 2009 8 0 "1.5"
"W0209" 2010 9 0 "1.5"
"W0234" 2003 4 0 "1.5"
"W0234" 2004 5 1 "1.5"
"W0236" 2003 4 0 "1.5"
"W0236" 2004 5 0 "1.5"
"W0236" 2005 6 1 "1.5"
"W0236" 2006 7 0 "1.5"
"W0237" 2003 6 0 "1.5"
"W0237" 2004 7 1 "1.5"
"W0237" 2005 8 0 "1.5"
"W0237" 2006 9 1 "1.5"
"W0237" 2007 10 0 "1.5"
"W0237" 2008 11 3 "1.5"
"W0237" 2009 12 0 "1.5"
"W0237" 2010 13 2 "1.5"
"W0237" 2011 14 0 "1.5"
"W0303" 2002 0 0 "1.5"
"W0303" 2003 1 0 "1.5"
"W0303" 2004 2 0 "1.5"
"W0303" 2005 3 0 "1.5"
"W0303" 2007 5 0 "1.5"
"W0303" 2008 6 0 "1.5"
"W0303" 2010 8 0 "1.5"
"W0303" 2011 9 0 "1.5"
"W0303" 2012 10 0 "1.5"
"W0303" 2013 11 1 "1.5"
"W0303" 2014 12 0 "1.5"
"W0425" 2005 5 0 "1.5"
"W0425" 2006 6 2 "1.5"
"W0425" 2007 7 0 "1.5"
"W0425" 2008 8 2 "1.5"
"W0425" 2009 9 0 "1.5"
"W0425" 2010 10 0 "1.5"
"W0425" 2011 11 1 "1.5"
"W0425" 2012 12 0 "1.5"
"W0425" 2013 13 1 "1.5"
"W0425" 2014 14 0 "1.5"
"W0425" 2015 15 0 "1.5"
"W0611" 2005 0 0 "1.5"
"W0611" 2006 1 0 "1.5"
"W0611" 2007 2 0 "1.5"
"W0611" 2008 3 0 "1.5"
"W0611" 2009 4 0 "1.5"
"W0611" 2010 5 0 "1.5"
"W0611" 2011 6 0 "1.5"
"W0611" 2012 7 0 "1.5"
"W0611" 2013 8 0 "1.5"
"W0611" 2014 9 0 "1.5"
"W0611" 2015 10 2 "1.5"
"W0621" 2005 0 0 "1.5"
"W0621" 2006 1 0 "1.5"
"W0621" 2007 2 0 "1.5"
"W0621" 2008 3 0 "1.5"
"W0621" 2009 4 0 "1.5"
"W0621" 2010 5 0 "1.5"
"W0621" 2011 6 0 "1.5"
"W0621" 2012 7 0 "1.5"
"W0621" 2013 8 2 "1.5"
